Order_ID,TAKEAWAY/SEATING/PICKUP,DATE,DAY,TIME,SERVER,ITEM,QUANTITY,PRICE,TOTAL,ALLERGIES,FOOD TYPE,WEEK NUMBER
139017,SEAT,19/06/2020,FRIDAY,16,JILLIAN N.,FISH & CHIPS 2 PIECE,1,22,22,NO,ENTRÉE,WEEK 1
138938,SEAT,19/06/2020,FRIDAY,11,ASHLEY C.,FAST FARE BREAKFAST,1,10,10,NO,BREAKFAST,WEEK 1
138938,SEAT,19/06/2020,FRIDAY,11,ASHLEY C.,CHIC COBB SALAD SMALL,1,14,14,NO,SALAD,WEEK 1
138938,SEAT,19/06/2020,FRIDAY,11,ASHLEY C.,THAI PRAWN SALAD LARGE,1,18,18,NO,SALAD,WEEK 1
138908,TAKEAWAY,19/06/2020,FRIDAY,9,ASHLEY C.,FAST FARE BREAKFAST,1,10,10,NO,BREAKFAST,WEEK 1
138908,TAKEAWAY,19/06/2020,FRIDAY,9,ASHLEY C.,EGGS BENEDICT,1,12,12,NO,BREAKFAST,WEEK 1
138948,SEAT,19/06/2020,FRIDAY,11,ASHLEY C.,SALT & PEPPER PORK RIBS,1,14,14,NO,STARTERS,WEEK 1
138945,TAKEAWAY,19/06/2020,FRIDAY,11,ASHLEY C.,CHICKEN CAESAR FLATBRD,1,15,15,NO,PIZZA,WEEK 1
138945,TAKEAWAY,19/06/2020,FRIDAY,11,ASHLEY C.,CHICKEN WINGS,1,14,14,NO,STARTERS,WEEK 1
138986,TAKEAWAY,19/06/2020,FRIDAY,13,ASHLEY C.,AHI TUNA POKE BOWL,1,21,21,NO,RICE BOWLS AND PASTA,WEEK 1
138986,TAKEAWAY,19/06/2020,FRIDAY,13,ASHLEY C.,SPICY ITALIAN FLATBRD,1,15,15,NO,PIZZA,WEEK 1
138986,TAKEAWAY,19/06/2020,FRIDAY,13,ASHLEY C.,PRIME RIB BURGER,1,17,17,NO,SANDWHICHES,WEEK 1
139006,TAKEAWAY,19/06/2020,FRIDAY,15,JILLIAN N.,CHIC COBB SALAD LARGE,2,18,36,YES,SALAD,WEEK 1
138953,TAKEAWAY,19/06/2020,FRIDAY,12,JILLIAN N.,CHIC COBB SALAD SMALL,1,14,14,NO,SALAD,WEEK 1
138953,TAKEAWAY,19/06/2020,FRIDAY,12,JILLIAN N.,SALT & PEPPER PORK RIBS,1,14,14,NO,STARTERS,WEEK 1
138943,TAKEAWAY,19/06/2020,FRIDAY,11,ASHLEY C.,CINNAMON FRENCH TOAST,3,12,36,NO,BREAKFAST,WEEK 1
138943,TAKEAWAY,19/06/2020,FRIDAY,11,ASHLEY C.,CINNAMON FRENCH TOAST,1,12,12,NO,BREAKFAST,WEEK 1
138943,TAKEAWAY,19/06/2020,FRIDAY,11,ASHLEY C.,TERIYAKI SALMON SALAD,1,20,20,NO,SALAD,WEEK 1
138923,TAKEAWAY,19/06/2020,FRIDAY,10,ASHLEY C.,BREAKFAST TACOS,1,12,12,NO,BREAKFAST,WEEK 1
138939,TAKEAWAY,19/06/2020,FRIDAY,11,ASHLEY C.,CHIC COBB SALAD LARGE,3,18,54,NO,SALAD,WEEK 1
138935,TAKEAWAY,19/06/2020,FRIDAY,11,ASHLEY C.,CUP SOUP OF THE DAY,2,4,8,NO,SOUP,WEEK 1
138933,PICKUP,19/06/2020,FRIDAY,11,ASHLEY C.,PORK TENDERLOIN,2,22,44,YES,ENTRÉE,WEEK 1
138933,PICKUP,19/06/2020,FRIDAY,11,ASHLEY C.,SEAFOOD PENNE,1,23,23,YES,RICE BOWLS AND PASTA,WEEK 1
138933,PICKUP,19/06/2020,FRIDAY,11,ASHLEY C.,THAI PRAWN SALAD SMALL,1,14,14,YES,SALAD,WEEK 1
139018,TAKEAWAY,19/06/2020,FRIDAY,16,JILLIAN N.,SALT & PEPPER PORK RIBS,1,14,14,NO,STARTERS,WEEK 1
138918,TAKEAWAY,19/06/2020,FRIDAY,10,ASHLEY C.,FAST FARE BREAKFAST,1,10,10,NO,BREAKFAST,WEEK 1
139204,TAKEAWAY,20/06/2020,SATURDAY,12,JILLIAN N.,PRIME RIB BURGER,1,17,17,NO,SANDWHICHES,WEEK 1
139193,SEAT,20/06/2020,SATURDAY,11,ASHLEY C.,PRIME RIB SLIDER,2,6,12,NO,STARTERS,WEEK 1
